plane_idx,x_cm,z_cm,weight
0,-0.092251,0.003580,0.903142
1,-0.046125,0.001790,0.903142
2,-0.000000,-0.000000,0.903142
3,0.046125,-0.001790,0.903142
4,0.092251,-0.003580,0.903142
0,0.023151,0.067660,0.941208
1,0.011575,0.033830,0.941208
2,-0.000000,0.000000,0.941208
3,-0.011575,-0.033830,0.941208
4,-0.023151,-0.067660,0.941208
0,0.065084,-0.005059,0.950880
1,0.032542,-0.002529,0.950880
2,-0.000000,-0.000000,0.950880
3,-0.032542,0.002529,0.950880
4,-0.065084,0.005059,0.950880
0,0.000934,-0.020622,0.995057
1,0.000467,-0.010311,0.995057
2,-0.000000,-0.000000,0.995057
3,-0.000467,0.010311,0.995057
4,-0.000934,0.020622,0.995057
0,-0.025116,-0.038729,0.975311
1,-0.012558,-0.019365,0.975311
2,0.000000,-0.000000,0.975311
3,0.012558,0.019365,0.975311
4,0.025116,0.038729,0.975311
0,0.011590,0.093888,0.898457
1,0.005795,0.046944,0.898457
2,-0.000000,0.000000,0.898457
3,-0.005795,-0.046944,0.898457
4,-0.011590,-0.093888,0.898457
0,0.048158,-0.025766,0.965499
1,0.024079,-0.012883,0.965499
2,0.000000,0.000000,0.965499
3,-0.024079,0.012883,0.965499
4,-0.048158,0.025766,0.965499
0,0.092466,-0.013646,0.900798
1,0.046233,-0.006823,0.900798
2,0.000000,0.000000,0.900798
3,-0.046233,0.006823,0.900798
4,-0.092466,0.013646,0.900798
0,-0.000381,0.025280,0.992583
1,-0.000191,0.012640,0.992583
2,0.000000,-0.000000,0.992583
3,0.000191,-0.012640,0.992583
4,0.000381,-0.025280,0.992583
0,0.048537,-0.071427,0.914928
1,0.024269,-0.035713,0.914928
2,-0.000000,0.000000,0.914928
3,-0.024269,0.035713,0.914928
4,-0.048537,0.071427,0.914928
0,0.010775,0.055498,0.963054
1,0.005388,0.027749,0.963054
2,-0.000000,-0.000000,0.963054
3,-0.005388,-0.027749,0.963054
4,-0.010775,-0.055498,0.963054
0,-0.041895,0.007480,0.979002
1,-0.020948,0.003740,0.979002
2,-0.000000,0.000000,0.979002
3,0.020947,-0.003740,0.979002
4,0.041895,-0.007480,0.979002
0,0.029795,0.008432,0.988874
1,0.014897,0.004216,0.988874
2,0.000000,-0.000000,0.988874
3,-0.014897,-0.004216,0.988874
4,-0.029795,-0.008432,0.988874
0,-0.043241,-0.049982,0.949669
1,-0.021621,-0.024991,0.949669
2,-0.000000,-0.000000,0.949669
3,0.021621,0.024991,0.949669
4,0.043241,0.049982,0.949669
0,0.085535,0.005907,0.916111
1,0.042767,0.002954,0.916111
2,-0.000000,-0.000000,0.916111
3,-0.042767,-0.002954,0.916111
4,-0.085535,-0.005907,0.916111
0,-0.075109,-0.002266,0.935193
1,-0.037555,-0.001133,0.935193
2,-0.000000,-0.000000,0.935193
3,0.037555,0.001133,0.935193
4,0.075109,0.002266,0.935193
0,0.001881,-0.084466,0.918482
1,0.000941,-0.042233,0.918482
2,-0.000000,-0.000000,0.918482
3,-0.000941,0.042233,0.918482
4,-0.001881,0.084466,0.918482
0,-0.033874,-0.004949,0.986403
1,-0.016937,-0.002475,0.986403
2,-0.000000,-0.000000,0.986403
3,0.016937,0.002475,0.986403
4,0.033874,0.004949,0.986403
0,-0.012423,-0.066534,0.947247
1,-0.006211,-0.033267,0.947247
2,-0.000000,-0.000000,0.947247
3,0.006211,0.033267,0.947247
4,0.012423,0.066534,0.947247
0,-0.086807,0.005369,0.913744
1,-0.043403,0.002684,0.913744
2,0.000000,0.000000,0.913744
3,0.043403,-0.002684,0.913744
4,0.086807,-0.005369,0.913744
0,0.022264,0.060492,0.952094
1,0.011132,0.030246,0.952094
2,-0.000000,-0.000000,0.952094
3,-0.011132,-0.030246,0.952094
4,-0.022264,-0.060492,0.952094
0,-0.038418,0.031216,0.971625
1,-0.019209,0.015608,0.971625
2,-0.000000,0.000000,0.971625
3,0.019209,-0.015608,0.971625
4,0.038418,-0.031216,0.971625
0,-0.002682,-0.057406,0.961833
1,-0.001341,-0.028703,0.961833
